SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
July-14-2020,2315 SE 72nd Ave,97215,575000,4,1,MT TABOR,3422,14810,1939,37,168,0,45.5060567,-122.5890802
April-16-2020,3240 SW Sherwood Pl,97201,545000,4,3.5,RALEIGH HILLS,3425,6969,1964,126,159,0,45.499954,-122.6992254
May-4-2020,1809 SW Myrtle St,97201,1100000,3,2.5,PORTLAND HEIGHTS,3425,12632,1925,108,321,0,45.511072,-122.6963351
February-28-2020,122 NW Pittock Ave,97210,718000,4,3.5,RALEIGH HILLS,3426,20908,1947,174,210,0,45.5214218,-122.7211986
March-3-2020,4323 SW Hamilton Ter,97239,620000,4,1,RALEIGH HILLS,3426,9147,1926,170,181,0,45.4919646,-122.681329
April-10-2020,106 SE 62nd Ave,97215,1040000,5,3.5,MT TABOR,3435,9583,1904,132,303,0,45.5218157,-122.599169
July-6-2020,3407 SE Woodward St,97202,1200000,5,3.5,RICHMOND,3438,5227,2015,45,349,0,45.5021082,-122.629352
February-27-2020,3137 SE Yamhill St,97214,758000,4,3.5,SUNNYSIDE,3442,6098,1909,175,220,0,45.5159547,-122.6328988
August-4-2020,2649 SW Talbot Rd,97201,1185000,4,4.5,PORTLAND HEIGHTS,3443,5227,1915,16,344,0,45.5035229,-122.7035957
June-5-2020,2310 NE Knott St,97212,762300,4,1.5,IRVINGTON,3445,4791,1938,76,221,0,45.5418872,-122.641876
March-20-2020,25 NE 47th Ave,97213,590000,4,1.5,PORTLAND NORTHEAST,3452,4791,1912,153,171,0,45.5233681,-122.6152526
August-13-2020,145 NW Pittock Ave,97210,931000,4,5.5,RALEIGH HILLS,3457,15245,1997,7,269,0,45.5217233,-122.7215948
June-5-2020,4219 SE Schiller St,97206,715000,4,3,WOODSTOCK,3462,4791,1911,76,207,0,45.4882748,-122.6189154
August-18-2020,6235 N Atlantic Ave,97217,755000,4,2,ARBOR LODGE,3478,7405,1922,2,217,0,45.5680556,-122.6968788
April-23-2020,2407 NE Knott St,97212,835000,4,2.5,IRVINGTON,3492,7840,1923,119,239,0,45.5422706,-122.640807
May-13-2020,3434 NE 22nd Ave,97212,689000,3,2,IRVINGTON,3494,4791,1922,99,197,0,45.5479514,-122.6428374
July-31-2020,3927 SW Martins Ln,97239,950000,3,3.5,COUNCIL CREST,3495,15245,1954,20,272,0,45.4947535,-122.7105623
August-14-2020,3215 SE Brooklyn St,97202,1055000,4,3.5,RICHMOND,3500,4791,2016,6,301,0,45.5014595,-122.6321161
June-26-2020,3412 SE Raymond St,97202,900000,4,3.5,REEDWOOD,3502,10454,1967,55,257,0,45.486852,-122.6284929
March-25-2020,1906 SW Edgewood Rd,97201,776100,3,2.5,PORTLAND HEIGHTS,3505,10018,1931,148,221,0,45.5037396,-122.6986958
July-10-2020,2850 SW Fairview Blvd,97205,1450000,4,2.5,RALEIGH HILLS,3506,17424,1974,41,414,0,45.519831,-122.711781
July-16-2020,3524 NE 13th Ave,97212,685000,5,2,PORTLAND NORTHEAST,3508,4791,1926,35,195,0,45.5486784,-122.6525683
March-20-2020,6112 SE 17th Ave,97202,692000,5,3.5,WESTMORELAND,3508,5662,1912,153,197,0,45.4782498,-122.6479225
February-26-2020,1835 SW Elizabeth St,97201,972650,4,2.5,PORTLAND HEIGHTS,3514,4791,1989,176,277,0,45.5085532,-122.6984215
August-14-2020,7041 NE 22nd Ave,97211,550000,3,3,IRVINGTON,3514,9147,1953,6,157,0,45.5738691,-122.6438354
May-1-2020,7655 NE Alameda St,97213,625000,2,2,ALAMEDA,3520,7840,1953,111,178,0,45.5428847,-122.5842147
June-5-2020,7824 SE 27th Ave,97202,922000,5,2,EASTMORELAND,3527,7405,1926,76,261,0,45.4681478,-122.6351207
July-27-2020,7121 SE Reed College Pl,97202,895000,3,2.5,EASTMORELAND,3527,6098,1932,24,254,0,45.4723077,-122.6296895
