SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-10-2020,Single Family Residential,2210 SW Main St,Portland,OR,97205,1725500,5,3.5,KINGS HILL,5777,3920,1911,10,299,,Sold,,,http://www.redfin.com/OR/Portland/2210-SW-Main-St-97205/home/26444167,RMLS,20638635,N,Y,45.5204306,-122.6971413
PAST SALE,March-30-2020,Single Family Residential,1130 SW King Ave,Portland,OR,97205,1720000,5,4.5,GOOSE HOLLOW,5783,9147,1892,143,297,,Sold,,,http://www.redfin.com/OR/Portland/1130-SW-King-Ave-97205/home/26405968,RMLS,20346994,N,Y,45.5200415,-122.6951516
PAST SALE,February-27-2020,Single Family Residential,2326 SW Park Pl,Portland,OR,97205,1420000,6,4.5,KINGS HILL,5991,4791,1893,175,237,,Sold,,,http://www.redfin.com/OR/Portland/2326-SW-Park-Pl-97205/home/25837912,RMLS,19046197,N,Y,45.5210812,-122.6988284
PAST SALE,May-1-2020,Single Family Residential,36 NE Beech St,Portland,OR,97212,410000,4,1.0,BOISE,2774,3049,1923,111,148,,Sold,,,http://www.redfin.com/OR/Portland/36-NE-Beech-St-97212/home/26404095,RMLS,20107786,N,Y,45.5493709,-122.6658713
PAST SALE,,Single Family Residential,3542 N Missouri Ave,Portland,OR,97227,340000,5,1.0,,1493,5000,1894,,228,,,,,http://www.redfin.com/OR/Portland/3542-N-Missouri-Ave-97227/home/26320869,,,N,Y,45.5484842,-122.6774558
PAST SALE,,Single Family Residential,4014 N Concord Ave,Portland,OR,97227,560576,4,2.0,,1776,5000,1928,,316,,,,,http://www.redfin.com/OR/Portland/4014-N-Concord-Ave-97227/home/26511107,,,N,Y,45.552421,-122.6848327
PAST SALE,May-5-2020,Single Family Residential,1616 NW Northrup St,Portland,OR,97209,775000,6,4.0,NORTHWEST DISTRICT,2884,1742,1900,107,269,,Sold,,,http://www.redfin.com/OR/Portland/1616-NW-Northrup-St-97209/home/26478476,RMLS,19219453,N,Y,45.5312777,-122.687933
PAST SALE,May-1-2020,Single Family Residential,3625 NE Cleveland Ave,Portland,OR,97212,265000,2,1.0,BOISE,1280,2178,1923,111,207,,Sold,,,http://www.redfin.com/OR/Portland/3625-NE-Cleveland-Ave-97212/home/171289704,RMLS,20170633,N,Y,45.5492027,-122.6658507
PAST SALE,May-29-2020,Single Family Residential,4019 N Overlook Ter,Portland,OR,97227,845000,3,2.5,Overlook,2481,23522,1998,83,341,,Sold,,,http://www.redfin.com/OR/Portland/4019-N-Overlook-Ter-97227/home/26340448,RMLS,20340871,N,Y,45.551703,-122.68858
PAST SALE,August-14-2020,Single Family Residential,3953 N Gantenbein Ave,Portland,OR,97227,740000,4,3.5,MISSISSIPPI,2740,4791,1906,6,270,,Sold,,,http://www.redfin.com/OR/Portland/3953-N-Gantenbein-Ave-97227/home/26450080,RMLS,20542657,N,Y,45.5516024,-122.6693011
