SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-17-2020,Single Family Residential,2947 NE 60th Ave,Portland,OR,97213,630000,3,2.5,Portland Northeast,2788,4791,1937,34,226,,Sold,,,http://www.redfin.com/OR/Portland/2947-NE-60th-Ave-97213/home/26580575,RMLS,20410827,N,Y,45.5443719,-122.6017404
PAST SALE,July-10-2020,Single Family Residential,2426 NE 49th Ave,Portland,OR,97213,705000,4,2.0,ROSE CITY/HOLLYWOOD,3063,4791,1907,41,230,,Sold,,,http://www.redfin.com/OR/Portland/2426-NE-49th-Ave-97213/home/25735835,RMLS,20193843,N,Y,45.5401478,-122.6126359
PAST SALE,July-30-2020,Single Family Residential,3314 NE 65th Ave,Portland,OR,97213,545000,2,2.0,ROSE CITY,2300,4791,1940,21,237,,Sold,,,http://www.redfin.com/OR/Portland/3314-NE-65th-Ave-97213/home/26528423,RMLS,20090891,N,Y,45.547159,-122.5960753
PAST SALE,April-14-2020,Single Family Residential,3722 NE 67th Ave,Portland,OR,97213,360500,1,1.0,ROSEWAY,880,3484,1925,128,410,,Sold,,,http://www.redfin.com/OR/Portland/3722-NE-67th-Ave-97213/home/25739035,RMLS,20249680,N,Y,45.5500561,-122.5939873
PAST SALE,July-10-2020,Single Family Residential,3016 NE 57th Ave,Portland,OR,97213,500000,4,2.0,Portland Northeast,2431,5227,1927,41,206,,Sold,,,http://www.redfin.com/OR/Portland/3016-NE-57th-Ave-97213/home/26463428,RMLS,20647066,N,Y,45.5448257,-122.6043055
PAST SALE,August-7-2020,Single Family Residential,3155 NE 80th Ave,Portland,OR,97213,413500,2,1.0,Portland Northeast,1176,4791,1954,13,352,,Sold,,,http://www.redfin.com/OR/Portland/3155-NE-80th-Ave-97213/home/25768435,RMLS,20677019,N,Y,45.5453879,-122.5810743
PAST SALE,August-11-2020,Single Family Residential,1310 NE 70th Ave,Portland,OR,97213,420000,3,1.0,Portland Southeast,1916,5227,1929,9,219,,Sold,,,http://www.redfin.com/OR/Portland/1310-NE-70th-Ave-97213/home/26531334,RMLS,20125681,N,Y,45.5323537,-122.5906191
PAST SALE,April-20-2020,Single Family Residential,5723 NE Failing St,Portland,OR,97213,500000,3,2.5,Portland Northeast,1790,5227,1923,122,279,,Sold,,,http://www.redfin.com/OR/Portland/5723-NE-Failing-St-97213/home/26531099,RMLS,20399634,N,Y,45.5512959,-122.6038658
PAST SALE,April-15-2020,Single Family Residential,1224 NE 52nd Ave,Portland,OR,97213,575000,3,2.0,ROSE CITY PARK,2148,5227,1928,127,268,,Sold,,,http://www.redfin.com/OR/Portland/1224-NE-52nd-Ave-97213/home/26406627,RMLS,20614589,N,Y,45.5316213,-122.6098733
PAST SALE,June-8-2020,Single Family Residential,1534 NE 55th Ave,Portland,OR,97213,518000,3,1.0,Rose City,2480,4791,1923,73,209,,Sold,,,http://www.redfin.com/OR/Portland/1534-NE-55th-Ave-97213/home/26491036,RMLS,20075324,N,Y,45.5342699,-122.606602
