SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-12-2020,Single Family Residential,7615 SE Clay St,Portland,OR,97215,530000,3,1.0,EAST TABOR,1848,6098,1953,69,287,,Sold,,,http://www.redfin.com/OR/Portland/7615-SE-Clay-St-97215/home/26396763,RMLS,20616788,N,Y,45.5117161,-122.5847659
PAST SALE,July-28-2020,Single Family Residential,1704 SE 52nd Ave,Portland,OR,97215,680000,3,2.0,Mt Tabor,2843,5662,1919,23,239,,Sold,,,http://www.redfin.com/OR/Portland/1704-SE-52nd-Ave-97215/home/26533786,RMLS,20504020,N,Y,45.5106444,-122.6086727
PAST SALE,May-1-2020,Single Family Residential,225 SE 74th Ave,Portland,OR,97215,430000,3,2.0,MT TABOR VILLA,1600,4791,1965,111,269,,Sold,,,http://www.redfin.com/OR/Portland/225-SE-74th-Ave-97215/home/26523451,RMLS,20461377,N,Y,45.5207592,-122.5870535
PAST SALE,April-16-2020,Single Family Residential,7323 SE Sherman St,Portland,OR,97215,575000,3,1.5,Portland Southeast,1880,9583,1959,126,306,,Sold,,,http://www.redfin.com/OR/Portland/7323-SE-Sherman-St-97215/home/26621110,RMLS,20556525,N,Y,45.5065093,-122.5873111
PAST SALE,June-22-2020,Single Family Residential,5224 SE Lincoln St,Portland,OR,97215,721000,4,2.0,MT TABOR,2570,3920,1911,59,281,,Sold,,,http://www.redfin.com/OR/Portland/5224-SE-Lincoln-St-97215/home/25857095,RMLS,20117499,N,Y,45.507833,-122.6084744
PAST SALE,May-13-2020,Single Family Residential,1535 SE 45th Ave,Portland,OR,97215,450000,2,1.0,Portland Southeast,3420,4791,1923,99,132,,Sold,,,http://www.redfin.com/OR/Portland/1535-SE-45th-Ave-97215/home/26307996,RMLS,20647630,N,Y,45.5114485,-122.6164305
PAST SALE,July-30-2020,Single Family Residential,815 SE 71st Ave,Portland,OR,97215,580000,4,2.0,TABOR HEIGHTS,2186,4356,1962,21,265,,Sold,,,http://www.redfin.com/OR/Portland/815-SE-71st-Ave-97215/home/26574032,RMLS,20226828,N,Y,45.5171613,-122.5899585
PAST SALE,June-30-2020,Single Family Residential,1904 SE 48th Ave,Portland,OR,97215,606000,4,1.0,RICHMOND/HAWTHORNE,2612,3484,1913,51,232,,Sold,,,http://www.redfin.com/OR/Portland/1904-SE-48th-Ave-97215/home/26461680,RMLS,20674002,N,Y,45.5092199,-122.6128696
PAST SALE,April-24-2020,Single Family Residential,36 NE 62nd Ave,Portland,OR,97213,629000,4,2.0,NORTH TABOR,2492,4791,1940,118,252,,Sold,,,http://www.redfin.com/OR/Portland/36-NE-62nd-Ave-97213/home/26578569,RMLS,20084788,N,Y,45.5234157,-122.5993035
PAST SALE,May-13-2020,Single Family Residential,1605 SE 49th Ave,Portland,OR,97215,432500,2,1.0,HAWTHORNE/RICHMOND,1440,4356,1924,99,300,,Sold,,,http://www.redfin.com/OR/Portland/1605-SE-49th-Ave-97215/home/25830287,RMLS,20227823,N,Y,45.5111611,-122.6124503
