SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-16-2020,Single Family Residential,2137 N Watts St,Portland,OR,97217,530000,4,2.5,KENTON,1740,2613,2015,157,305,,Sold,,,http://www.redfin.com/OR/Portland/2137-N-Watts-St-97217/home/61443378,RMLS,20361525,N,Y,45.5811569,-122.688696
PAST SALE,March-20-2020,Single Family Residential,2509 N Halleck St,Portland,OR,97217,458000,3,2.5,KENTON,1507,2613,2018,153,304,,Sold,,,http://www.redfin.com/OR/Portland/2509-N-Halleck-St-97217/home/113643019,RMLS,20010084,N,Y,45.5828491,-122.6927818
PAST SALE,March-16-2020,Single Family Residential,6717 N Montana Ave,Portland,OR,97217,465000,3,2.5,ARBOR LODGE,1888,3484,1925,157,246,,Sold,,,http://www.redfin.com/OR/Portland/6717-N-Montana-Ave-97217/home/25797550,RMLS,20125989,N,Y,45.5715571,-122.6800634
PAST SALE,March-18-2020,Single Family Residential,229 N Baldwin St,Portland,OR,97217,480000,3,2.0,PIEDMONT,1644,4791,1937,155,292,,Sold,,,http://www.redfin.com/OR/Portland/229-N-Baldwin-St-97217/home/26490999,RMLS,20135937,N,Y,45.5788115,-122.6689871
PAST SALE,May-14-2020,Single Family Residential,3273 N Arlington Pl,Portland,OR,97217,386000,3,2.5,KENTON,1423,2178,2005,98,271,,Sold,,,http://www.redfin.com/OR/Portland/3273-N-Arlington-Pl-97217/home/25859653,RMLS,20692491,N,Y,45.5835164,-122.7004786
PAST SALE,May-29-2020,Single Family Residential,7535 N Fenwick Ave,Portland,OR,97217,405000,4,1.0,Portland North,2504,5227,1923,83,162,,Sold,,,http://www.redfin.com/OR/Portland/7535-N-Fenwick-Ave-97217/home/25804807,RMLS,20658637,N,Y,45.577699,-122.6850334
PAST SALE,March-4-2020,Single Family Residential,2340 N Winchell St,Portland,OR,97217,405000,3,1.5,KENTON,1028,1742,1910,169,394,,Sold,,,http://www.redfin.com/OR/Portland/2340-N-Winchell-St-97217/home/25754326,RMLS,19508262,N,Y,45.5800882,-122.69096
PAST SALE,March-18-2020,Single Family Residential,3538 N Halleck St,Portland,OR,97217,449900,3,2.0,KENTON,1224,7405,1954,155,368,,Sold,,,http://www.redfin.com/OR/Portland/3538-N-Halleck-St-97217/home/26596588,RMLS,19011742,N,Y,45.5824679,-122.7035209
PAST SALE,July-20-2020,Single Family Residential,8816 N Burrage Ave,Portland,OR,97217,470000,3,2.5,KENTON,1656,2613,2017,31,284,,Sold,,,http://www.redfin.com/OR/Portland/8816-N-Burrage-Ave-97217/home/49692767,RMLS,20356344,N,Y,45.5863221,-122.6948777
PAST SALE,July-30-2020,Single Family Residential,8814 N Seward Ave,Portland,OR,97217,527000,4,2.0,KENTON,1415,7405,1963,21,372,,Sold,,,http://www.redfin.com/OR/Portland/8814-N-Seward-Ave-97217/home/25858241,RMLS,20644185,N,Y,45.5866465,-122.7044811
PAST SALE,March-24-2020,Single Family Residential,921 N Stafford St,Portland,OR,97217,423500,3,2.5,PEIDMONT,1406,2613,2008,149,301,,Sold,,,http://www.redfin.com/OR/Portland/921-N-Stafford-St-97217/home/25799623,RMLS,20066410,N,Y,45.5767023,-122.6768818
PAST SALE,,Single Family Residential,5027 N Concord Ave,Portland,OR,97217,475000,5,2.0,,2580,5000,1896,,184,,,,,http://www.redfin.com/OR/Portland/5027-N-Concord-Ave-97217/home/26553845,,,N,Y,45.5595657,-122.6851273
PAST SALE,April-3-2020,Single Family Residential,6324 N Villard Ave,Portland,OR,97217,555000,3,2.0,ARBOR LODGE/OVERLOOK,1888,4791,1928,139,294,,Sold,,,http://www.redfin.com/OR/Portland/6324-N-Villard-Ave-97217/home/26590769,RMLS,20678704,N,Y,45.5686447,-122.6973511
PAST SALE,,Single Family Residential,5517 N Commercial Ave,Portland,OR,97217,575000,3,2.0,,1866,3812,1923,,308,,,,,http://www.redfin.com/OR/Portland/5517-N-Commercial-Ave-97217/home/26633864,,,N,Y,45.5630058,-122.6715774
