SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-15-2020,Single Family Residential,3764 SE Harrison St,Portland,OR,97214,664900,3,2.0,Portland Southeast,2864,4791,1909,97,232,,Sold,,,http://www.redfin.com/OR/Portland/3764-SE-Harrison-St-97214/home/26367156,RMLS,20099437,N,Y,45.5085979,-122.624345
PAST SALE,July-10-2020,Single Family Residential,2812 SE Belmont St,Portland,OR,97214,579900,4,2.5,BELMONT,2252,2178,2015,41,258,,Sold,,,http://www.redfin.com/OR/Portland/2812-SE-Belmont-St-97214/home/65636333,RMLS,20502896,N,Y,45.5162345,-122.6366764
PAST SALE,April-13-2020,Single Family Residential,2604 SE Taylor St,Portland,OR,97214,850000,4,3.0,Portland Southeast,3120,4791,1922,129,272,,Sold,,,http://www.redfin.com/OR/Portland/2604-SE-Taylor-St-97214/home/26320603,RMLS,20694495,N,Y,45.5148479,-122.638922
PAST SALE,June-16-2020,Single Family Residential,2115 SE Stark St,Portland,OR,97214,475000,2,2.5,BUCKMAN,1907,3049,1883,65,249,,Sold,,,http://www.redfin.com/OR/Portland/2115-SE-Stark-St-97214/home/26533952,RMLS,20306085,N,Y,45.5195195,-122.6442519
PAST SALE,June-1-2020,Single Family Residential,3652 SE Oak St,Portland,OR,97214,948700,3,2.5,LAURELHURST,3639,12632,1924,80,261,,Sold,,,http://www.redfin.com/OR/Portland/3652-SE-Oak-St-97214/home/25810917,RMLS,20418836,N,Y,45.5200089,-122.6261684
PAST SALE,June-4-2020,Single Family Residential,1309 SE 40th Ave,Portland,OR,97214,640000,3,1.5,Sunnyside,2091,4356,1909,77,306,,Sold,,,http://www.redfin.com/OR/Portland/1309-SE-40th-Ave-97214/home/26555578,RMLS,20372852,N,Y,45.5133809,-122.6217203
PAST SALE,May-18-2020,Single Family Residential,1620 SE 41st Ave,Portland,OR,97214,760000,4,2.5,Hawthorne/Richmond,2837,3920,1912,94,268,,Sold,,,http://www.redfin.com/OR/Portland/1620-SE-41st-Ave-97214/home/26426670,RMLS,20282984,N,Y,45.510937,-122.619955
PAST SALE,April-24-2020,Single Family Residential,3805 SE Ankeny St,Portland,OR,97214,880000,3,2.0,Laurelhurst,3012,5227,1955,118,292,,Sold,,,http://www.redfin.com/OR/Portland/3805-SE-Ankeny-St-97214/home/26469524,RMLS,20257067,N,Y,45.5229194,-122.6241023
PAST SALE,July-24-2020,Single Family Residential,1615 SE 41st Ave,Portland,OR,97214,555000,3,2.0,RICHMOND / HAWTHORNE,1704,3920,1954,27,326,,Sold,,,http://www.redfin.com/OR/Portland/1615-SE-41st-Ave-97214/home/26475889,RMLS,20388717,N,Y,45.510962,-122.62052
PAST SALE,May-29-2020,Single Family Residential,1810 SE 41st Ave,Portland,OR,97214,555000,3,1.0,RICHMOND,2608,3920,1915,83,213,,Sold,,,http://www.redfin.com/OR/Portland/1810-SE-41st-Ave-97214/home/26307856,RMLS,20076042,N,Y,45.5100387,-122.6199384
