SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-20-2020,Single Family Residential,3145 NE 27th Ave,Portland,OR,97212,815000,4,2.0,Portland Northeast,2698,4791,1932,31,302,,Sold,,,http://www.redfin.com/OR/Portland/3145-NE-27th-Ave-97212/home/26311488,RMLS,20667215,N,Y,45.5458631,-122.6383176
PAST SALE,May-29-2020,Single Family Residential,3003 NE 33rd Ave,Portland,OR,97212,610000,4,2.0,GRANT PARK/ ALAMEDA,2226,4791,1926,83,274,,Sold,,,http://www.redfin.com/OR/Portland/3003-NE-33rd-Ave-97212/home/26599243,RMLS,20591043,N,Y,45.544508,-122.6309618
PAST SALE,August-7-2020,Single Family Residential,1332 NE Fremont St,Portland,OR,97212,615000,4,2.0,Portland Northeast,2058,4791,1925,13,299,,Sold,,,http://www.redfin.com/OR/Portland/1332-NE-Fremont-St-97212/home/26497288,RMLS,20128154,N,Y,45.5480432,-122.6520176
PAST SALE,July-23-2020,Single Family Residential,1825 NE Fremont St,Portland,OR,97212,699900,3,3.0,Portland Northeast,2728,4791,1922,28,257,,Sold,,,http://www.redfin.com/OR/Portland/1825-NE-Fremont-St-97212/home/25844476,RMLS,20495591,N,Y,45.5484508,-122.6466696
PAST SALE,May-15-2020,Single Family Residential,2909 NE Fremont St,Portland,OR,97212,623000,3,2.5,ALAMEDA,2842,3484,2010,97,219,,Sold,,,http://www.redfin.com/OR/Portland/2909-NE-Fremont-St-97212/home/25859069,RMLS,19530737,N,Y,45.5484531,-122.6357492
PAST SALE,August-12-2020,Single Family Residential,1720 NE 25th Ave,Portland,OR,97212,870000,5,3.5,Portland Northeast,2953,4791,1913,8,295,,Sold,,,http://www.redfin.com/OR/Portland/1720-NE-25th-Ave-97212/home/26296097,RMLS,20117651,N,Y,45.5355671,-122.6398235
PAST SALE,August-6-2020,Single Family Residential,3137 NE 31st Ave,Portland,OR,97212,1250000,5,3.0,ALAMEDA,3544,4791,2015,14,353,,Sold,,,http://www.redfin.com/OR/Portland/3137-NE-31st-Ave-97212/home/26520071,RMLS,20446248,N,Y,45.5458832,-122.6340174
PAST SALE,July-10-2020,Single Family Residential,4032 NE 23rd Ave,Portland,OR,97212,705000,4,3.0,ALAMEDA,2260,3920,1924,41,312,,Sold,,,http://www.redfin.com/OR/Portland/4032-NE-23rd-Ave-97212/home/26554149,RMLS,20018709,N,Y,45.5523837,-122.641707
PAST SALE,March-27-2020,Single Family Residential,3225 NE Cesar E Chavez Blvd,Portland,OR,97212,796000,3,2.0,BEAUMONT - WILSHIRE,2622,4791,1928,146,304,,Sold,,,http://www.redfin.com/OR/Portland/3225-NE-Cesar-E-Chavez-Blvd-97212/home/25794307,RMLS,20567659,N,Y,45.5465436,-122.623092
PAST SALE,April-9-2020,Single Family Residential,2545 NE Cesar E Chavez Blvd,Portland,OR,97212,765000,3,3.0,GRANT PARK,3272,4356,1913,133,234,,Sold,,,http://www.redfin.com/OR/Portland/2545-NE-Cesar-E-Chavez-Blvd-97212/home/26496209,RMLS,20174649,N,Y,45.5412894,-122.6232948
PAST SALE,March-3-2020,Single Family Residential,3121 NE 31st Ave,Portland,OR,97212,540000,3,3.0,ALAMEDA,1472,3049,1925,170,367,,Sold,,,http://www.redfin.com/OR/Portland/3121-NE-31st-Ave-97212/home/26537126,RMLS,20698136,N,Y,45.5456439,-122.6339945
PAST SALE,April-24-2020,Single Family Residential,3015 NE 35th Pl,Portland,OR,97212,596000,3,2.0,GRANT PARK,2050,4356,1924,118,291,,Sold,,,http://www.redfin.com/OR/Portland/3015-NE-35th-Pl-97212/home/26516169,RMLS,20427880,N,Y,45.544924,-122.6278959
PAST SALE,July-9-2020,Single Family Residential,2734 NE 32nd Pl,Portland,OR,97212,1395000,4,3.0,ALAMEDA,4268,9583,1933,42,327,,Sold,,,http://www.redfin.com/OR/Portland/2734-NE-32nd-Pl-97212/home/26618559,RMLS,20518311,N,Y,45.5425977,-122.6314399
PAST SALE,,Single Family Residential,2933 NE 31st Ave,Portland,OR,97212,430000,4,1.5,,1832,5000,1929,,235,,,,,http://www.redfin.com/OR/Portland/2933-NE-31st-Ave-97212/home/26336337,,,N,Y,45.5441436,-122.6340583
PAST SALE,April-20-2020,Single Family Residential,3033 NE 34th Ave,Portland,OR,97212,775000,4,3.0,Portland Northeast,2659,4791,1929,122,291,,Sold,,,http://www.redfin.com/OR/Portland/3033-NE-34th-Ave-97212/home/25786616,RMLS,20540951,N,Y,45.5452083,-122.6299617
PAST SALE,June-4-2020,Single Family Residential,3749 NE Fremont St,Portland,OR,97212,485000,3,1.0,BEAUMONT - WILSHIRE,1840,3920,1927,77,264,,Sold,,,http://www.redfin.com/OR/Portland/3749-NE-Fremont-St-97212/home/26554590,RMLS,20365809,N,Y,45.5484753,-122.6238637
PAST SALE,June-8-2020,Single Family Residential,3287 NE Bryce St,Portland,OR,97212,925000,5,4.0,ALAMEDA,3970,9147,1910,73,233,,Sold,,,http://www.redfin.com/OR/Portland/3287-NE-Bryce-St-97212/home/171385532,RMLS,20323415,N,Y,45.5504301,-122.6308046
PAST SALE,June-12-2020,Single Family Residential,3733 NE 14th Ave,Portland,OR,97212,484000,3,1.0,SABIN,2028,4791,1900,69,239,,Sold,,,http://www.redfin.com/OR/Portland/3733-NE-14th-Ave-97212/home/26316257,RMLS,20446108,N,Y,45.5500417,-122.651972
PAST SALE,May-13-2020,Single Family Residential,3434 NE 22nd Ave,Portland,OR,97212,689000,3,2.0,IRVINGTON,3494,4791,1922,99,197,,Sold,,,http://www.redfin.com/OR/Portland/3434-NE-22nd-Ave-97212/home/26627456,RMLS,20168031,N,Y,45.5479514,-122.6428374
PAST SALE,June-11-2020,Single Family Residential,3225 NE 18th Ave,Portland,OR,97212,820000,4,2.0,IRVINGTON/SABIN,2654,4791,1927,70,309,,Sold,,,http://www.redfin.com/OR/Portland/3225-NE-18th-Ave-97212/home/26524429,RMLS,20539031,N,Y,45.5463015,-122.6476038
