SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-24-2020,Single Family Residential,4448 NE 72nd Ave,Portland,OR,97218,475000,3,1.0,Argyle Park,1950,6534,1943,27,244,,Sold,,,http://www.redfin.com/OR/Portland/4448-NE-72nd-Ave-97218/home/26554790,RMLS,20189777,N,Y,45.555261,-122.5884718
PAST SALE,June-23-2020,Single Family Residential,5285 NE 72nd Ave,Portland,OR,97218,411000,4,1.5,Portland Northeast,2690,8276,1942,58,153,,Sold,,,http://www.redfin.com/OR/Portland/5285-NE-72nd-Ave-97218/home/26322820,RMLS,20188799,N,Y,45.5615391,-122.5891821
PAST SALE,March-20-2020,Single Family Residential,4922 NE 73rd Ave,Portland,OR,97218,550000,4,2.0,Portland Northeast,2001,7840,1949,153,275,,Sold,,,http://www.redfin.com/OR/Portland/4922-NE-73rd-Ave-97218/home/26339432,RMLS,20193263,N,Y,45.5588769,-122.587479
PAST SALE,,Single Family Residential,4551 NE Skidmore St,Portland,OR,97218,262500,3,2.0,,1400,8844,1930,,188,,,,,http://www.redfin.com/OR/Portland/4551-NE-Skidmore-St-97218/home/26430822,,,N,Y,45.5538934,-122.6160519
PAST SALE,April-30-2020,Single Family Residential,4447 NE Skidmore St,Portland,OR,97218,385000,2,1.0,Beaumont-Wilshire,1176,8276,1926,112,327,,Sold,,,http://www.redfin.com/OR/Portland/4447-NE-Skidmore-St-97218/home/26339781,RMLS,20625187,N,Y,45.5538954,-122.6173308
PAST SALE,April-10-2020,Single Family Residential,4954 NE Skidmore St,Portland,OR,97218,725000,4,2.5,CULLY,2493,4356,2020,132,291,,Sold,,,http://www.redfin.com/OR/Portland/4954-NE-Skidmore-St-97218/home/170025870,RMLS,20684089,N,Y,45.553865,-122.611236
PAST SALE,,Single Family Residential,7019 NE Wygant St,Portland,OR,97218,230000,2,1.0,,904,10665,1927,,254,,,,,http://www.redfin.com/OR/Portland/7019-NE-Wygant-St-97218/home/26302877,,,N,Y,45.5583847,-122.5906592
PAST SALE,July-27-2020,Single Family Residential,4421 NE 78th Ave,Portland,OR,97218,475500,4,2.0,ROSEWAY,2049,4791,1922,24,232,,Sold,,,http://www.redfin.com/OR/Portland/4421-NE-78th-Ave-97218/home/26364446,RMLS,20449891,N,Y,45.5548963,-122.5829565
PAST SALE,June-6-2020,Single Family Residential,4119 NE 54th Ave,Portland,OR,97218,390000,2,1.0,ROSE CITY,1344,5662,1926,75,290,,Sold,,,http://www.redfin.com/OR/Portland/4119-NE-54th-Ave-97218/home/26538687,RMLS,20639410,N,Y,45.5528451,-122.6077622
PAST SALE,July-27-2020,Single Family Residential,6111 NE 49th Ave,Portland,OR,97218,510000,4,2.5,CULLY ASSOCIATION OF NEIGHBORS,1547,4791,2000,24,330,,Sold,,,http://www.redfin.com/OR/Portland/6111-NE-49th-Ave-97218/home/25828911,RMLS,20302151,N,Y,45.5671502,-122.6125263
PAST SALE,May-5-2020,Single Family Residential,5257 NE 47th Ave,Portland,OR,97218,425000,2,2.0,Cully,1429,4791,1948,107,297,,Sold,,,http://www.redfin.com/OR/Portland/5257-NE-47th-Ave-97218/home/26558754,RMLS,20556095,N,Y,45.5613836,-122.6144536
PAST SALE,July-24-2020,Single Family Residential,4210 NE 76th Ave,Portland,OR,97218,479950,3,2.5,ROSEWAY,1672,2613,2020,27,287,,Sold,,,http://www.redfin.com/OR/Portland/4210-NE-76th-Ave-97218/home/171970401,RMLS,20297636,N,Y,45.5533158,-122.5844376
PAST SALE,May-8-2020,Single Family Residential,5145 NE Jarrett St,Portland,OR,97218,342000,3,2.0,CULLY,1569,7840,1970,104,218,,Sold,,,http://www.redfin.com/OR/Portland/5145-NE-Jarrett-St-97218/home/26318235,RMLS,20313292,N,Y,45.5644177,-122.6092419
PAST SALE,July-29-2020,Single Family Residential,6409 NE Roselawn St,Portland,OR,97218,408000,2,1.0,CULLY,2096,6098,1949,22,195,,Sold,,,http://www.redfin.com/OR/Portland/6409-NE-Roselawn-St-97218/home/26413450,RMLS,20341755,N,Y,45.5607574,-122.5969013
PAST SALE,August-12-2020,Single Family Residential,4229 NE Skidmore St,Portland,OR,97218,425000,2,1.0,BEAUMONT - WILSHIRE,1116,4356,1928,8,381,,Sold,,,http://www.redfin.com/OR/Portland/4229-NE-Skidmore-St-97218/home/25763982,RMLS,20104742,N,Y,45.5538731,-122.6197132
PAST SALE,August-13-2020,Single Family Residential,4657 NE Cully Blvd,Portland,OR,97218,447000,3,2.5,CULLY,2222,7405,2020,7,201,,Sold,,,http://www.redfin.com/OR/Portland/4657-NE-Cully-Blvd-97218/home/26359202,RMLS,20414922,N,Y,45.5574257,-122.5996397
PAST SALE,June-24-2020,Single Family Residential,4706 NE 78th Pl,Portland,OR,97218,360000,2,1.0,Portland Northeast,774,5227,1951,57,465,,Sold,,,http://www.redfin.com/OR/Portland/4706-NE-78th-Pl-97218/home/26388181,RMLS,20451964,N,Y,45.5574265,-122.5817267
PAST SALE,July-15-2020,Single Family Residential,4235 NE 70th Ave,Portland,OR,97218,500000,3,2.0,ROSEWAY,2296,4791,1951,36,218,,Sold,,,http://www.redfin.com/OR/Portland/4235-NE-70th-Ave-97218/home/26337766,RMLS,20369982,N,Y,45.5535734,-122.5914696
