SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-1-2020,Single Family Residential,7415 N Wayland Ave,Portland,OR,97203,585000,3,2.0,UNIVERSITY PARK,2478,5662,1944,80,236,,Sold,,,http://www.redfin.com/OR/Portland/7415-N-Wayland-Ave-97203/home/26319083,RMLS,20031907,N,Y,45.5766079,-122.7108375
PAST SALE,April-3-2020,Single Family Residential,7906 N Wall Ave,Portland,OR,97203,288000,2,1.0,PORTSMOUTH,1466,4791,1925,139,196,,Sold,,,http://www.redfin.com/OR/Portland/7906-N-Wall-Ave-97203/home/26478929,RMLS,20659330,N,Y,45.5859632,-122.7282748
PAST SALE,July-24-2020,Single Family Residential,8719 N Portsmouth Ave,Portland,OR,97203,410000,3,1.5,Portland North,1288,6534,2000,27,318,,Sold,,,http://www.redfin.com/OR/Portland/8719-N-Portsmouth-Ave-97203/home/26523430,RMLS,20626301,N,Y,45.5861458,-122.7216827
PAST SALE,July-6-2020,Single Family Residential,10020 N Mohawk Ave,Portland,OR,97203,369900,3,1.0,ST. JOHNS,960,4791,1958,45,385,,Sold,,,http://www.redfin.com/OR/Portland/10020-N-Mohawk-Ave-97203/home/26527804,RMLS,20196394,N,Y,45.597424,-122.7440275
PAST SALE,February-28-2020,Single Family Residential,4755 N Oberlin St,Portland,OR,97203,475000,3,2.0,UNIVERSITY PARK,1448,5227,1928,174,328,,Sold,,,http://www.redfin.com/OR/Portland/4755-N-Oberlin-St-97203/home/26513836,RMLS,20338906,N,Y,45.5784716,-122.7181475
PAST SALE,February-24-2020,Single Family Residential,8823 N Druid Ave,Portland,OR,97203,425000,3,2.5,PORTSMOUTH NEIGHBORHOOD,1242,4791,1997,178,342,,Sold,,,http://www.redfin.com/OR/Portland/8823-N-Druid-Ave-97203/home/25795953,RMLS,20324333,N,Y,45.5862997,-122.7176143
PAST SALE,March-11-2020,Single Family Residential,5606 N Depauw St,Portland,OR,97203,599900,5,2.5,University Park,2518,7405,1959,162,238,,Sold,,,http://www.redfin.com/OR/Portland/5606-N-Depauw-St-97203/home/26461026,RMLS,20245983,N,Y,45.5809858,-122.7281336
PAST SALE,April-9-2020,Single Family Residential,9753 N Central St,Portland,OR,97203,427250,3,1.0,ST JOHNS,1198,5227,1971,133,357,,Sold,,,http://www.redfin.com/OR/Portland/9753-N-Central-St-97203/home/26459821,RMLS,20666559,N,Y,45.5982039,-122.7586064
PAST SALE,March-24-2020,Single Family Residential,7910 N Edison St,Portland,OR,97203,431000,3,1.0,CATHEDRAL PARK/ST JOHNS,884,4791,1962,149,488,,Sold,,,http://www.redfin.com/OR/Portland/7910-N-Edison-St-97203/home/26525662,RMLS,20293341,N,Y,45.5846941,-122.7505424
PAST SALE,May-7-2020,Single Family Residential,9331 N Allegheny Ave,Portland,OR,97203,457500,3,2.0,Portland North,2080,4791,1921,105,220,,Sold,,,http://www.redfin.com/OR/Portland/9331-N-Allegheny-Ave-97203/home/25771690,RMLS,20335318,N,Y,45.5940931,-122.7451325
PAST SALE,July-29-2020,Single Family Residential,7237 N Fessenden St,Portland,OR,97203,377500,3,1.0,ST JOHNS,976,4356,1954,22,387,,Sold,,,http://www.redfin.com/OR/Portland/7237-N-Fessenden-St-97203/home/25841441,RMLS,20207335,N,Y,45.5943643,-122.7380106
PAST SALE,May-27-2020,Single Family Residential,9234 N Allegheny Ave,Portland,OR,97203,345000,2,1.0,ST JOHNS / CATHEDRAL PARK,704,4791,1954,85,490,,Sold,,,http://www.redfin.com/OR/Portland/9234-N-Allegheny-Ave-97203/home/26545839,RMLS,20136580,N,Y,45.5933162,-122.7449869
PAST SALE,May-29-2020,Single Family Residential,8704 N Portsmouth Ave,Portland,OR,97203,462000,3,1.0,Portland North,1933,3920,1925,83,239,,Sold,,,http://www.redfin.com/OR/Portland/8704-N-Portsmouth-Ave-97203/home/25826884,RMLS,20558028,N,Y,45.5857961,-122.7212333
PAST SALE,April-22-2020,Single Family Residential,9001 N Trumbull Ave,Portland,OR,97203,480000,2,1.0,Portland North,1719,,1943,120,279,,Sold,,,http://www.redfin.com/OR/Portland/9001-N-Trumbull-Ave-97203/home/26477383,RMLS,19681884,N,Y,45.5957374,-122.7556455
PAST SALE,July-31-2020,Single Family Residential,6838 N Catlin Ave,Portland,OR,97203,435000,4,2.0,ST. JOHNS,1880,3920,1907,20,231,,Sold,,,http://www.redfin.com/OR/Portland/6838-N-Catlin-Ave-97203/home/26627439,RMLS,20143308,N,Y,45.5931924,-122.7630457
PAST SALE,June-26-2020,Single Family Residential,6743 N Princeton St,Portland,OR,97203,435000,2,1.0,UNIVERSITY PARK,1463,4791,1952,55,297,,Sold,,,http://www.redfin.com/OR/Portland/6743-N-Princeton-St-97203/home/26337788,RMLS,20363934,N,Y,45.5831107,-122.7380488
PAST SALE,July-20-2020,Single Family Residential,9409 N Tyler Ave,Portland,OR,97203,326500,2,1.0,St Johns,1771,,1951,31,184,,Sold,,,http://www.redfin.com/OR/Portland/9409-N-Tyler-Ave-97203/home/26416485,RMLS,20626701,N,Y,45.5942549,-122.7439887
