SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-17-2020,Single Family Residential,5914 NE 27th Ave,Portland,OR,97211,625000,4,2.0,Portland Northeast,2522,,1927,125,248,,Sold,,,http://www.redfin.com/OR/Portland/5914-NE-27th-Ave-97211/home/25758157,RMLS,20551957,N,Y,45.5655434,-122.6378515
PAST SALE,July-7-2020,Single Family Residential,9416 NE Gertz Ct,Portland,OR,97211,261000,3,1.0,SNOOZY'S HOLLOW,822,5227,1944,44,318,80,Sold,,,http://www.redfin.com/OR/Portland/9416-NE-Gertz-Ct-97211/home/26531384,RMLS,20364669,N,Y,45.5921936,-122.6649842
PAST SALE,May-5-2020,Single Family Residential,5911 NE 28th Ave,Portland,OR,97211,635000,3,2.0,Concordia,2600,4791,1910,107,244,,Sold,,,http://www.redfin.com/OR/Portland/5911-NE-28th-Ave-97211/home/26460317,RMLS,20440918,N,Y,45.5654942,-122.6373628
PAST SALE,July-13-2020,Single Family Residential,5265 NE Cleveland Ave,Portland,OR,97211,850000,5,4.0,Portland North,3416,4791,1907,38,249,,Sold,,,http://www.redfin.com/OR/Portland/5265-NE-Cleveland-Ave-97211/home/26478757,RMLS,20269591,N,Y,45.5614641,-122.6661211
PAST SALE,May-8-2020,Single Family Residential,5107 NE 29th Ave,Portland,OR,97211,485000,2,2.0,ALBERTA ARTS,1954,3920,1914,104,248,,Sold,,,http://www.redfin.com/OR/Portland/5107-NE-29th-Ave-97211/home/25848414,RMLS,20101159,N,Y,45.5597345,-122.6360856
PAST SALE,July-20-2020,Single Family Residential,6720 NE Mallory Ave,Portland,OR,97211,510000,2,1.0,Portland Northeast,1752,4791,1926,31,291,,Sold,,,http://www.redfin.com/OR/Portland/6720-NE-Mallory-Ave-97211/home/26519780,RMLS,20312229,N,Y,45.5714898,-122.6630762
PAST SALE,August-14-2020,Single Family Residential,5430 NE 24th Ave,Portland,OR,97211,710000,4,3.5,CONCORDIA / ALBERTA ARTS,2268,2178,2018,6,313,,Sold,,,http://www.redfin.com/OR/Portland/5430-NE-24th-Ave-97211/home/109514649,RMLS,20374706,N,Y,45.562451,-122.640627
PAST SALE,March-20-2020,Single Family Residential,4307 NE 38th Ave,Portland,OR,97211,615000,3,2.0,BEAUMONT - WILSHIRE,2024,7840,1927,153,304,,Sold,,,http://www.redfin.com/OR/Portland/4307-NE-38th-Ave-97211/home/26429104,RMLS,20248295,N,Y,45.5538838,-122.6246908
PAST SALE,May-13-2020,Single Family Residential,6335 NE 36th Ave,Portland,OR,97211,375000,3,1.0,Portland Northeast,1172,6098,1947,99,320,,Sold,,,http://www.redfin.com/OR/Portland/6335-NE-36th-Ave-97211/home/26408541,RMLS,20638569,N,Y,45.5688898,-122.6268834
PAST SALE,June-5-2020,Single Family Residential,4335 NE 14th Ave,Portland,OR,97211,690000,3,2.0,SABIN,2030,4791,1905,76,340,,Sold,,,http://www.redfin.com/OR/Portland/4335-NE-14th-Ave-97211/home/25768532,RMLS,20019146,N,Y,45.5549284,-122.6519921
